year;month;weekNumber;pedal_cycles;all_motor_vehicles
2006;03;11;3654;749752
2006;03;12;19124;4219427
2006;03;13;21597;6213085
2006;04;14;4748;2806931
2006;04;17;48047;6668772
2006;05;18;25696;5415310
2006;05;19;36751;6423519
2006;05;20;25520;5439612
2006;05;21;21062;6464182
2006;06;23;40610;7502023
2006;06;24;26247;6289133
2006;06;25;31542;6227486
2006;06;26;33697;6199067
2006;07;27;27855;5694852
2006;07;28;29614;5691560
2006;09;36;15511;5400858
2006;09;37;18032;5584719
2006;09;38;29818;6273733
2006;09;39;30016;6355991
2006;10;40;26209;5854709
2006;10;41;30930;6084323
2006;10;42;20280;6162641
2006;10;43;2464;931799
2006;10;44;5924;1392186
2007;03;10;10;300
2007;03;11;5488;825185
2007;03;12;21192;4844258
2007;03;13;21584;5172144
2007;04;16;15722;4904895
2007;04;17;32858;6969014
2007;04;18;6315;1363996
2007;05;18;26263;4335982
2007;05;19;23025;4207975
2007;05;20;30564;6280494
2007;05;21;31292;5593343
2007;06;23;30138;6084842
2007;06;24;26339;5535093
2007;06;25;32945;6061204
2007;06;26;23116;5712925
2007;07;27;29384;5462592
2007;07;28;28885;5119960
2007;09;36;13947;4843245
2007;09;37;24754;6235939
2007;09;38;29044;6087892
2007;09;39;25419;6160417
2007;10;40;30912;6013658
2007;10;41;28821;6272662
2007;10;42;30008;8663745
2007;10;43;722;686176
2007;10;44;9566;1761546
2008;03;11;6264;1132137
2008;03;12;224;21810
2008;03;13;10;548
2008;03;14;12821;841973
2008;04;14;22454;2566836
2008;04;15;11037;2650314
2008;04;16;10987;2425887
2008;04;17;52250;5975552
2008;04;18;18710;2887097
2008;05;18;9720;3301919
2008;05;19;49154;6876322
2008;05;20;51145;8243621
2008;05;21;44878;7182165
2008;06;23;40366;7722036
2008;06;24;54693;9358554
2008;06;25;43707;9078940
2008;06;26;45865;9351647
2008;06;27;7427;1418328
2008;07;27;34047;6634550
2008;07;28;42673;7586410
2008;07;29;5;82678
2008;09;36;21301;4013062
2008;09;37;35824;5304218
2008;09;38;40869;5358562
2008;09;39;46689;5040806
2008;09;40;12682;2052439
2008;10;40;20687;3329945
2008;10;41;46146;5883485
2008;10;42;31154;4394933
2008;10;43;33265;4468697
2008;10;44;412;182597
2009;03;11;6201;860408
2009;03;12;36080;4072104
2009;03;13;32552;4994953
2009;03;14;14329;2170986
2009;04;14;24507;3753408
2009;04;17;36592;5327360
2009;04;18;28555;4965541
2009;05;18;6718;1500115
2009;05;19;27810;7452040
2009;05;20;33906;8112325
2009;05;21;37645;8461457
2009;06;23;48537;8974874
2009;06;24;38013;9424742
2009;06;25;43795;8299561
2009;06;26;40301;9021899
2009;06;27;17146;3178797
2009;07;27;22544;5274087
2009;07;28;44881;8304925
2009;09;36;17344;2929364
2009;09;37;45938;7243332
2009;09;38;42399;6361693
2009;09;39;46372;6204042
2009;09;40;25190;3259592
2009;10;40;18795;1806483
2009;10;41;41202;4493143
2009;10;42;45603;5759047
2009;10;43;55360;6067881
2009;10;44;726;310017
2010;03;10;4252;857545
2010;03;11;29288;4348966
2010;03;12;30348;4074669
2010;04;15;5235;1093470
2010;04;16;32089;4733569
2010;04;17;33769;5551460
2010;05;18;13201;5528149
2010;05;19;37385;9041939
2010;05;20;30513;8435021
2010;05;21;33964;8523205
2010;06;23;23421;9146220
2010;06;24;31113;10042184
2010;06;25;28140;6856962
2010;06;26;20951;5233797
2010;07;26;10841;3751480
2010;07;27;50455;8204535
2010;09;35;14815;1835564
2010;09;36;29242;5136785
2010;09;37;31348;5701952
2010;09;38;47125;5870252
2010;09;39;23939;4329704
2010;10;39;5650;765861
2010;10;40;32971;3846855
2010;10;41;41675;4080971
2010;10;42;35119;3568033
2011;03;11;2735;717172
2011;03;12;20854;4221749
2011;03;13;16210;2889192
2011;04;13;2955;695197
2011;04;14;43181;8844573
2011;04;15;3858;1214120
2011;05;18;16213;3247641
2011;05;19;31003;6765279
2011;05;20;22084;5511184
2011;05;21;28814;5803843
2011;06;23;21870;5755445
2011;06;24;23873;5861084
2011;06;25;21725;5433324
2011;06;26;28870;6642054
2011;07;26;3997;1169283
2011;07;27;18344;6598358
2011;07;28;29142;5577008
2011;09;36;19421;3982798
2011;09;37;25272;4037591
2011;09;38;29998;4332521
2011;09;39;28296;4353687
2011;10;40;31373;4487722
2011;10;41;32002;4257650
2011;10;42;21367;3487593
2011;10;43;2101;537275
2011;10;44;2434;1218822
2011;11;44;8460;985106
2012;03;11;6539;898399
2012;03;12;41239;4803918
2012;03;13;35379;3520652
2012;04;16;24863;5817569
2012;04;17;27282;8867951
2012;04;18;2745;1192661
2012;05;18;21567;2702919
2012;05;19;16684;4438476
2012;05;20;23423;4810752
2012;05;21;37851;5739917
2012;05;22;17449;5301437
2012;06;22;4120;827954
2012;06;23;47;6319
2012;06;24;19451;4764299
2012;06;25;21364;5348236
2012;06;26;26527;7883949
2012;07;27;16046;6011602
2012;07;28;25790;6426341
2012;07;29;14;4108
2012;09;36;12907;3801066
2012;09;37;26008;4007137
2012;09;38;27822;5016346
2012;09;39;29403;4527936
2012;10;40;26183;4109977
2012;10;41;23230;3246159
2012;10;42;20607;2532754
2012;10;43;34586;7353941
2012;10;44;2670;806219
2013;03;10;1;1318
2013;03;11;3804;863507
2013;03;12;17415;4132215
2013;03;13;27;14036
2013;04;15;2052;431261
2013;04;16;36961;6850168
2013;04;17;42156;8984665
2013;04;18;17047;1556936
2013;05;18;18115;2142995
2013;05;19;22277;4735190
2013;05;20;25215;4272386
2013;05;21;31394;5347448
2013;05;22;2;1115
2013;06;23;30138;6037103
2013;06;24;31669;6299178
2013;06;25;35935;4653057
2013;06;26;30264;7772149
2013;07;27;25354;6964856
2013;07;28;36381;7474629
2013;07;29;126;8272
2013;07;30;150;47126
2013;09;35;118;28542
2013;09;36;21575;3553294
2013;09;37;29753;3972881
2013;09;38;28373;4753234
2013;09;39;23480;4332271
2013;09;40;2562;721441
2013;10;40;23778;3240394
2013;10;41;26918;3106966
2013;10;42;20779;2216978
2013;10;43;34106;6452965
2013;10;44;608;310580
2013;11;44;62;10460
2014;04;17;11961;5654963
2014;04;18;11447;2410656
2014;05;18;8856;2100781
2014;05;19;13250;3744867
2014;05;20;29845;7980118
2014;05;21;20005;5743481
2014;05;22;90;10366
2014;06;23;18309;5297409
2014;06;24;22920;4981479
2014;06;25;17351;5106831
2014;06;26;22719;6446611
2014;06;27;2946;843012
2014;07;27;16529;3850609
2014;07;28;15244;4660132
2014;07;29;2224;21870
2014;09;36;16393;4366842
2014;09;37;29815;4396355
2014;09;38;43481;4453713
2014;09;39;24287;4164578
2014;09;40;15876;1276656
2014;10;40;22959;2941900
2014;10;41;31037;3953972
2014;10;42;21044;3724416
2014;10;43;25848;9036702
2014;10;44;639;111597
2015;03;10;17;435
2015;03;11;1076;102755
2015;03;12;6361;487124
2015;03;13;6469;649526
2015;03;14;108;18709
2015;04;14;28;14217
2015;04;16;14877;5536890
2015;04;17;21412;8811638
2015;04;18;26986;2715615
2015;05;18;3010;636993
2015;05;19;15861;3850964
2015;05;20;26864;4847062
2015;05;21;22737;4222263
2015;06;23;34663;5776640
2015;06;24;26757;4542858
2015;06;25;30981;5407472
2015;06;26;28848;6327019
2015;06;27;12663;2658369
2015;07;27;22497;4274275
2015;07;28;32943;6179394
2015;09;37;22750;3933511
2015;09;38;17432;4863990
2015;09;39;19524;5198235
2015;09;40;20090;2911891
2015;10;40;12296;2014290
2015;10;41;26641;5327434
2015;10;42;38636;3842467
2015;10;43;16409;2179038
2015;11;45;1042;537347
2015;11;46;694;23720
2016;03;09;508;32325
2016;03;10;2150;162236
2016;03;11;6965;682839
2016;03;12;5736;703375
2016;04;15;28345;3120560
2016;04;16;26701;4944084
2016;04;17;20182;2328385
2016;05;18;22680;2545698
2016;05;19;24964;3822719
2016;05;20;31319;3670078
2016;05;21;25706;3544896
2016;06;23;33442;3715215
2016;06;24;31434;3963332
2016;06;25;27088;4990943
2016;06;26;32982;2977395
2016;07;26;8020;1096739
2016;07;27;24554;4780583
2016;09;36;25764;3048596
2016;09;37;31324;5594394
2016;09;38;34050;5407430
2016;09;39;37675;4535854
2016;10;40;26363;4545581
2016;10;41;27480;2959450
2016;10;42;25063;2259347
2016;10;44;830;162442
2016;11;44;15657;485559
2016;11;45;1487;190701
2017;03;11;5619;959408
2017;03;12;23967;3174294
2017;03;13;22323;3186960
2017;04;16;12851;1789142
2017;04;17;32673;8281945
2017;05;18;22623;3518644
2017;05;19;32261;5423215
2017;05;20;19826;4761811
2017;05;21;29592;5845479
2017;06;23;21955;5557323
2017;06;24;31568;6113087
2017;06;25;35298;5919022
2017;06;26;18102;6098853
2017;07;27;39314;6794070
2017;07;28;33060;6977797
2017;09;36;23971;4867526
2017;09;37;21500;5191197
2017;09;38;32556;6981510
2017;09;39;32629;5825792
2017;10;40;42859;4290759
2017;10;41;23065;3813435
2017;10;42;24077;2697977
2017;10;44;3082;328011
2017;11;44;3646;684722
2017;11;45;1533;159149
2018;03;11;6427;469192
2018;03;12;10416;1128288
2018;04;16;43071;4386437
2018;04;17;56850;5281832
2018;04;18;3682;669846
2018;05;18;26053;2394072
2018;05;19;38130;3303682
2018;05;20;56964;3750578
2018;05;21;60430;4405094
2018;06;23;51018;4653814
2018;06;24;48880;4192739
2018;06;25;48998;3934375
2018;06;26;53077;4158229
2018;07;27;56333;5273625
2018;07;28;46248;5015909
2018;09;36;29586;2869986
2018;09;37;56436;5028721
2018;09;38;34028;3789253
2018;09;39;48644;4825055
2018;10;40;42760;4574387
2018;10;41;38587;3368935
2018;10;42;42621;2739279
2018;10;44;15988;520659
2018;11;44;13821;121906
2018;11;45;2002;183612
2019;03;11;3728;619121
2019;03;12;28558;3672492
2019;03;13;35463;4800743
2019;04;14;24287;8633789
2019;04;17;20493;3708660
2019;04;18;11568;1735823
2019;05;18;13467;4420967
2019;05;19;18543;4045865
2019;05;20;33137;5498128
2019;05;21;34031;4622469
2019;06;23;31992;5789075
2019;06;24;24961;5639367
2019;06;25;33797;4830481
2019;06;26;31090;4935606
2019;07;27;35401;7249062
2019;07;28;33732;7000734
2019;07;29;35084;5510460
2019;09;36;15438;3518859
2019;09;37;33351;5268869
2019;09;38;51107;5997830
2019;09;39;28962;5818247
2019;09;40;4811;751055
2019;10;40;28421;4079133
2019;10;41;25956;2808964
2019;10;42;24712;2698167
2019;10;43;1079;308842
2019;11;45;1974;442624
2020;03;13;1833;204174
2020;04;17;41007;5089750
2020;04;18;26375;3022358
2020;05;18;2565;255317
2020;05;19;20914;1741905
2020;05;20;37145;2761775
2020;05;21;39743;2334814
2020;06;23;39404;2996934
2020;06;24;43503;4807516
2020;06;25;28553;3854154
2020;06;26;45957;3666320
2020;06;27;16812;1725511
2020;07;27;16874;2089365
2020;07;28;26600;3980750
2020;07;29;38445;7107670
2020;07;30;4536;1580785
2020;08;34;12;1085
2020;08;35;39;7527
2020;09;36;8926;2184310
2020;09;37;34438;4534332
2020;09;38;23486;4544585
2020;09;39;18130;3268959
2020;09;40;9770;2163943
2020;10;40;7699;1161606
2020;10;41;14478;1597365
2020;10;42;2766;263213
2020;10;43;533;141119
2020;11;45;126;29420
2021;03;11;1960;191011
2021;03;12;6945;1438305
2021;03;13;3078;1168962
2021;04;16;34380;8178089
2021;04;17;22014;9521222
2021;05;18;23890;4763647
2021;05;19;24872;4066646
2021;05;20;23156;4137434
2021;05;21;24887;5169823
2021;06;23;32923;4947559
2021;06;24;31407;5276854
2021;06;25;25206;6600972
2021;06;26;18551;3561544
2021;07;26;18354;2466344
2021;07;27;24237;5913975
2021;07;28;33059;8155848
2021;07;29;5993;795025
2021;09;35;5718;1152830
2021;09;36;30027;5379248
2021;09;37;28418;5630499
2021;09;38;23852;4679987
2021;09;39;13734;3305468
2021;10;39;3446;1177849
2021;10;40;17381;2943822
2021;10;41;6120;779002
2021;10;42;1886;483863
2021;11;44;2542;182357
2022;03;11;695;79599
2022;03;12;14355;1065155
2022;03;13;13751;5275555
2022;04;13;3407;1580660
2022;04;14;1423;1220492
2022;04;16;15320;3338661
2022;04;17;42270;10948172
2022;05;18;16908;3186731
2022;05;19;23615;4780753
2022;05;20;38894;4138197
2022;05;21;26138;5276745
2022;06;23;24544;5405630
2022;06;24;39757;5036135
2022;06;25;15673;1674848
2022;06;26;38414;3856953
2022;07;26;4214;1026752
2022;07;27;34928;6552242
2022;07;28;28390;8395067
2022;07;29;6914;430152
2022;09;36;17940;5046931
2022;09;37;20072;3963991
2022;09;38;29308;4654936
2022;09;39;33772;6460732
2022;10;40;21752;3923796
2022;10;41;14059;3282026
2022;10;42;7203;973280
2022;11;44;502;61723
